3 4 5 6 7 8 9 10 11 12 12 12||13 14 15 16 17 18 19 12
34 35 36 37 35 38 10 39 40 12||41 42 12
28 55 24 56 12 57 10 58||28 29 59 12
17 66 27||28 67 68 69 70 71 72 14 73 28 27
49 74 12 12 12||75 34 35 76 28 77 69 78 12
19 28 79 69 22 80 27||16 80 27
17 81 28 82 83 69 32 84 85 86 12||16 84 85 27
16 84 85 27||32 87 28 12
92 93 27||17 94 95 12
96 19 69 97||96 19 98 97
17 55 69 54 99 100 101 102 12||17 103 104 55 69 54 99 105 106 12
28 52 28 29 32 5 107 108 32 109 27||17 73 12
110 59 111 12||112 113 12
112 113 12||28 29 114 115 116 117 37 35 118 119 12
79 17 120 69 121 69 28 122 32 109 12||28 60 32 123 12 17 18 104 70 4 9 124 104 70
125 126 28 127 27||128 12 12 12 112 129 12
88 17 147 150 69 60 16 34 151 136 12||37 35 152 12 153 28 126 154 90 155 27
158 66 88 10 159 160||161 28 162 113
161 28 162 113||157 17 19 12 163 75 66 10 164 165 12
157 17 19 12 163 75 66 10 164 165 12||57 100 12 12 12
158 166 167 66 168 37 12 95 17 73 37 12||28 73 16 27
169 170 104 28 171 14 27||17 68 69 13 28 172 173 174 175 176 122 155 12
34 35 98||17 147 98 177 178 69 179 174 180 12
17 147 98 177 178 69 179 174 180 12||17 181 17 182 17 66 183 28 12
28 184 185 186 143 28 60 12||95 73 28
13 70 97||28 187 14 173 12
28 187 14 173 12||17 142 68
23 34 188 10 189 190 191 192 23 37 142 14 27||37 35 142 28 12
16 4 92 67 193 194 27||75 195 196 28 12 140 17 197 83 69 198 108 143 12
75 195 196 28 12 140 17 197 83 69 198 108 143 12||161 37 35 98 199 92 35 10 200 129 97
161 92 124 104 120 69 47 12||201 24 202
129 203 204 14 69 54 50 97||4 9 35 98 141 28 29 98 141 12
130 131 12 37 35 205 12||37 35 142 10 206 12 129 12
207 32 208 209 28 70 12||129 74 97
129 74 97||142 31 10 210
129 17 120 69 211 32 109 72 28 12 37 35 212 143||32 109 27 9 213 10 47 27
158 35 98 10 214 215 12 216 34 23 12||28 29 98 141 217 174 218 219 12 220 90 165 12
28 32 221 222 27||95 96 171 14 12 12 12
95 96 171 14 12 12 12||20 223 12 17 147 150 69 224 28 32 225 12
95 226 227 28 228 27||229 230 12 43 82 28 27
229 230 12 43 82 28 27||17 66 231 12 203 230 232 50 27
17 66 231 12 203 230 232 50 27||233 12 10 234 12 6 29 235 236 32 237 238 12
233 12 10 234 12 6 29 235 236 32 237 238 12||43 239 203 240 100 174 241 242 27
43 239 203 240 100 174 241 242 27||243 106 12
243 106 12||83 71 97
